Type,carbon_isotopes,silicon_29_28,silicon_30_28
Z,16.67,-97,-35
M,16.69,62,45
M,16.7,-11.3,-0.1
M,16.77,20,21
M,16.77,12,21
M,16.81,16,27
M,16.8,-10.5,87.7
M,16.83,22,54
M,16.84,36,51
M,16.84,0,13
M,16.85,2,-10
M,16.87,42,61
M,16.89,52,73
Z,16.9,26,102
M,16.90,-23,15
M,16.91,46,30
M,16.93,37,11
M,17.00,33,28
M,17,65,49
M,17.03,68,51
M,17.04,37,10
M,17.04,-4,2
M,17.05,49,27
M,17.05,59,41
M,17.05,14,22
M,17.1,107.7,133.0
M,17.06,73,30
M,17.09,-24,-39
M,17.09,38,26
M,17.1,58,65
Z,17.13,-44,29
M,17.13,31,15
M,17.15,54,54
M,17.17,52,68
M,17.19,-113,168
M,17.20,43,44
M,17.2,37,36
M,17.21,58,65
Z,17.21,-1,72
M,17.23,85,73
M,17.30,49,63
M,17.3,-34,-81
M,17.3,25,62
M,17.32,20,47
M,17.34,27,37
M,17.34,56,75
M,17.35,38,37
M,17.36,-15,20
M,17.37,5,13
M,17.38,18,24
M,17.38,76,74
M,17.39,55,44
M,17.39,-11,-10
M,17.43,4,0
M,17.45,42,56
M,17.49,81,79
M,17.54,-59,-54
M,17.56,12,27
M,17.59,-31,-12
M,17.6,11,19
M,17.64,54,64
M,17.64,25,-16
M,17.67,50,83
M,17.68,-22,-42
M,17.68,60,70
M,17.7,-48,5
M,17.7,76.8,86.5
M,17.71,75,58
M,17.76,59,69
M,17.8,24,40
M,17.80,9,21
X,17.8,-237,-336
M,17.84,-44,-20
M,17.85,56,27
M,17.86,10,36
M,17.88,44,67
M,17.89,50,66
M,17.93,72,114
M,17.93,52,77
M,17.97,-3,10
M,17.98,-4,23
M,17.99,9,23
M,18.0,-4.7,7.3
M,18.0,160.1,130.7
M,18.01,50,70
M,18.06,-15,8
M,18.08,-39,-46
X,18.2,-419.4,-467.0
M,18.15,9,29
M,18.16,77,56
M,18.19,106,92
M,18.22,-24,30
M,18.24,63,36
M,18.28,18,50
M,18.29,69,68
M,18.30,33,58
M,18.33,66,72
M,18.33,-26,-18
M,18.34,7,-37
M,18.35,71,6
M,18.36,24,60
M,18.38,72,60
M,18.38,54,86
M,18.39,36,112
M,18.40,22,40
M,18.41,17,42
M,18.44,43,39
M,18.46,-95,-22
M,18.47,41,50
M,18.48,-13,23
M,18.50,24,22
M,18.51,38,27
M,18.57,28,15
M,18.61,-26,19
M,18.62,48,31
M,18.65,14,46
M,18.68,65,40
U,18.70,63.71,58.48
M,18.71,18,12
M,18.71,33,37
M,18.72,39,60
M,18.74,1,-25
M,18.79,9,26
M,18.82,4,-1
M,18.82,38,-15
M,18.88,25,20
M,18.88,18,43
M,18.88,56,36
M,18.88,60,39
M,18.89,31,26
M,18.89,65,46
M,18.89,83,71
M,18.90,22,34
M,18.94,-32,15
M,18.98,-97,-12
M,18.98,120,110
M,19.02,29,57
M,19.04,-29,-1
M,19.1,-22,-31
M,19.1,5.4,16.4
M,19.12,123,89
M,19.13,50,59
Z,19.14,14,55
M,19.14,55,30
M,19.15,-4,5
M,19.20,72,66
M,19.22,56,4
M,19.23,60,79
M,19.25,17,41
M,19.25,31,29
M,19.26,64.5,51.3
M,19.3,19.2,56.9
M,19.29,15,-16
M,19.30,10,74
