Type,carbon_12_13,nitrogen_14_15
M,47.2,4922
M,47.2,1175
M,47.2,1502
M,47.2,4840
M,47.2,2704
M,47.2,1940
M,47.27,1290
M,47.3,3231
M,47.3,568
M,47.3,4902
M,47.39,2087
M,47.4,5221
M,47.4,5348
M,47.41,1537
M,47.45,367
M,47.5,1539
M,47.5,830
M,47.50,4386
M,47.56,623.82
M,47.58,876
M,47.59,807
M,47.60,736
X,47.6,48
M,47.68,961
M,47.7,2556
M,47.71,232
M,47.72,425
M,47.74,442.83
M,47.8,1709
M,47.78,396
M,47.80,845
M,47.81,373
M,47.83,617
M,47.84,1008
M,47.86,388
M,47.9,6477
M,48.0,4718
M,48.0,925
M,48.05,899
M,48.1,5195
X,48.1,102.5
M,48.2,1927
M,48.2,3729
M,48.20,738
M,48.21,319
M,48.24,1348
M,48.27,1055
M,48.29,2241
M,48.31,1625
M,48.3,462
M,48.38,353
M,48.4,306
M,48.4,1269
Z,48.52,499
M,48.53,5684.76
M,48.56,2015
Z,48.57,1130
M,48.58,799
M,48.59,1088
M,48.6,1773
M,48.64,716
M,48.7,4012
M,48.7,4636
M,48.67,504
M,48.7,341
M,48.7,1034
M,48.69,769
M,48.69,632
M,48.7,2233
M,48.69,678
M,48.72,1314
M,48.79,3800.70
M,48.8,1417
M,48.8,4018
M,48.82,716
M,48.8,829
M,48.84,343
M,48.85,935
M,48.90,1767
M,48.90,356
M,48.91,450
M,48.9,9763
M,48.9,4092
M,48.95,328
X,49.0,71.1
M,48.98,374
M,48.98,883
X,49,64
M,49.01,467
M,49.0,1918
M,49.04,667
M,49.1,2265
M,49.08,328
M,49.10,865
M,49.1,2176
M,49.17,3926
M,49.18,769.14
M,49.18,1944
M,49.2,781
M,49.22,346
M,49.28,1189
M,49.30,480
M,49.31,408
M,49.3,2850
M,49.3,305
M,49.34,467
M,49.37,2115.77
M,49.40,1744.08
M,49.40,455
M,49.4,1937
M,49.46,1231
M,49.5,450
M,49.5,1839
M,49.50,610
M,49.50,2217
M,49.54,1249
M,49.6,7197
M,49.59,851
M,49.6,3250
M,49.64,876
M,49.65,325
M,49.65,497
M,49.67,476.06
Z,49.68,521
M,49.7,1215
M,49.7,310
M,49.75,431
M,49.8,258
M,49.8,3418
M,49.80,717
M,49.8,430
M,49.8,1374
M,49.84,781
M,49.8,1812
M,49.86,549
M,50.0,528
M,50.0,400
M,50.1,3098
M,50.1,2160
M,50.1,2381
X,50.20,107.1
M,50.21,2099
Z,50.22,1962
M,50.25,1574
M,50.28,534.95
M,50.3,2523
M,50.3,646
M,50.3,2160
M,50.30,2353
M,50.3,3263
M,50.3,3937
M,50.3,2143
M,50.4,1795
M,50.4,892
M,50.5,571.57
M,50.6,3058
M,50.6,8269
M,50.65,1605
M,50.7,1674
M,50.68,1246
M,50.7,9127
M,50.74,1014
M,50.76,1983
X,50.8,250.7
M,50.80,2801
M,50.81,1561
M,50.82,1427
M,50.9,270
M,50.9,375
M,50.97,1895.09
M,50.97,410
M,51.0,387
M,51,395
M,51.00,1190
Z,51,2147
M,51.1,1051.15
M,51.12,120.96
M,51.17,518
M,51.2,389
M,51.2,608
M,51.18,2366
M,51.2,398
M,51.3,1963
M,51.3,3073
M,51.29,718.52
M,51.3,263
M,51.3,1966
M,51.3,418
M,51.3,1305
M,51.5,2178
M,51.5,413.8
M,51.54,1138
U,51.6,116
M,51.61,770
M,51.62,1170
M,51.64,2184
M,51.6,5838
M,51.7,345
M,51.67,586
M,51.7,2449
M,51.68,1145
M,51.8,3982
M,51.8,1449
M,51.80,907
M,51.86,2566
M,51.91,417.63
M,51.91,2970
M,51.9,9190
M,51.94,737
M,52.0,8719
M,52,3003
M,52.0,7313
M,52.0,2451
M,52.1,315
M,52.1,374
Z,52.1,323
M,52.1,567.36
M,52.12,2345
M,52.16,528.79
M,52.2,413
M,52.25,3893
M,52.29,824.51
M,52.30,1090.57
M,52.31,411
M,52.31,1557
M,52.3,1304
M,52.33,755.99
M,52.36,408
M,52.4,3925
M,52.4,1143
M,52.39,2144
M,52.39,589
M,52.40,1294
M,52.4,7937
M,52.5,2319
M,52.5,3445
M,52.51,493
M,52.5,1491
M,52.5,2415
M,52.6,1424
M,52.6,2081
M,52.6,2181
M,52.65,419
M,52.7,2033
M,52.69,2927.76
M,52.7,2653
M,52.71,341
M,52.75,718.39
M,52.75,2473
M,52.77,494.54
M,52.8,2437
M,52.8,1696
M,52.8,4069
M,52.80,680
M,52.81,785
M,52.9,1533
M,52.90,722
M,52.9,1765
M,52.9,3208
M,52.99,297
M,52.99,626
M,53.0,1275
M,53.02,384.09
M,53.0,383
M,53.0,197
M,53.03,1450
M,53.1,2160
M,53.1,2000
M,53.10,4202
M,53.13,303
M,53.14,274
M,53.15,503
M,53.2,1498
M,53.19,425.96
M,53.2,1867
M,53.20,496
M,53.2,2170
M,53.24,5493
M,53.2,879
M,53.3,1499
M,53.3,1356
M,53.3,646
M,53.4,7183
M,53.4,1875
M,53.42,340
M,53.47,759
M,53.48,424
M,53.5,1081
M,53.52,214
Z,53.57,511.65
M,53.62,2194
M,53.67,286
M,53.71,754
M,53.71,2459
M,53.7,242
M,53.7,1191
M,53.8,2491
M,53.8,2827
M,53.8,3937
M,53.82,2711
M,53.9,1736
M,53.9,6507
M,53.93,1895
M,53.98,393
M,53.98,2558
M,54,531
M,54,796
Z,54.03,1146.45
M,54.0,2885
M,54.07,312
M,54.09,274
M,54.09,788
M,54.09,2467
M,54.16,1061.48
M,54.17,214
M,54.2,1367
M,54.2,3702
M,54.28,311
M,54.3,1477
M,54.33,209
M,54.4,11537
M,54.45,884
M,54.45,1692
M,54.46,1668
M,54.5,4634
M,54.55,578
M,54.6,2822
M,54.57,1889
M,54.64,340
M,54.68,1608
M,54.68,277
M,54.7,1946
M,54.71,905
M,54.74,1367
M,54.8,3920
M,54.8,2652
M,54.86,2627
M,54.86,529
M,54.87,880
M,54.87,1201
M,54.9,1101
M,54.91,1405
M,55.0,970
M,54.99,1231
M,55.06,912.99
M,55.07,1054
M,55.10,2028
M,55.11,823
M,55.15,1248
M,55.2,2888
M,55.17,358
M,55.2,244.7
M,55.2,3012
M,55.3,3912
M,55.3,2636
Z,55.3,2113
M,55.30,3356
M,55.3,4950
M,55.3,1261
M,55.33,2005.21
M,55.35,278
M,55.4,809
M,55.39,553
M,55.4,350
M,55.4,2087
M,55.5,4898
M,55.52,2908
M,55.5,261
M,55.6,2438
M,55.6,3379
M,55.63,1384
M,55.68,323
