Type,d(29Si/28Si),d(30Si/28Si)
M,27,-11
M,37,-11
M,24,-11
M,19,-11
M,-50,-11
M,11,-11
M,-24,-11
M,-19,-11
M,-26,-11
M,-20.6,-10.8
M,-10,-11
M,-14,-11
M,1,-11
M,11,-11
Y,-2,-11
M,20,-11
M,-9,-11
M,-24,-10
M,-9,-10
M,13,-10
M,-21,-10
M,-71.1,-10.4
AB,-45,-10
M,-19,-10
M,0,-10
M,-32,-10
M,2,-10
M,-11,-10
M,19,-10
M,-40,-10
M,-50,-10
M,-38,-10
M,-10,-10
M,0,-10
M,13,-10
M,16,-10
AB,22,-10
M,42,-10
AB,-45,-10
M,-54,-10
Y,-40,-10
M,-40,-10
M,-33,-10
M,-23,-10
M,20,-10
M,35,-10
M,-81,-10
M,-28,-10
M,-14,-10
AB,-10,-10
M,-17,-10
M,30,-10
Y,-51,-10
M,-28,-10
M,3,-10
M,-14,-10
AB,-15.9,-9.7
M,-21,-10
M,13,-10
M,-4,-10
M,-12,-10
M,-45,-9
M,-33,-9
M,-22,-9
Y,-8,-9
M,0,-9
Y,-32,-9
AB,-28,-9
M,0,-9
M,-22,-9
M,0,-9
M,-58,-9
M,-6,-9
M,-48,-9
M,-19,-9
AB,-10,-9
M,7,-9
M,17,-9
M,17,-9
M,76,-9
M,-9.2,-9.1
M,25.8,-9.1
M,4,-9
M,-11,-9
M,-25,-9
M,-84,-9
M,-40,-9
M,-32.0,-9.0
M,-1,-9
Y,0,-9
M,1,-9
M,15,-9
M,24,-9
AB,27,-9
M,44,-9
M,-29.84,-8.91
M,-41,-9
AB,-4,-9
M,11,-9
M,-10,-9
M,-42,-9
M,192,-9
M,-3,-9
M,-28,-9
M,14,-9
M,-27,-9
M,16,-9
M,-55,-9
M,2,-9
M,20,-9
M,36,-9
M,11,-8
M,-12,-8
M,-7.0,-8.4
M,2,-8
M,-14,-8
Y,-25,-8
Y,-24,-8
M,9,-8
M,25,-8
M,-2,-8
Y,-39,-8
M,-29,-8
AB,14,-8
M,-18.7,-8.1
M,13,-8
M,-43,-8
M,-8,-8
AB,17,-8
M,20,-8
M,-59,-8
M,-3,-8
M,7,-8
M,12,-8
M,42,-8
Y,11,-8
AB,-22,-8
M,31,-8
M,39,-8
M,-18,-8
M,29,-8
Z,-71,-8
M,-55,-8
M,-32,-8
M,-22,-8
M,-9,-8
M,1,-8
M,-28.0,-7.7
M,21,-8
M,-20,-8
M,61,-8
M,12,-8
M,-26,-8
M,-16,-8
M,5,-8
M,3.3,-7.5
M,-6,-7
M,15,-7
M,-5,-7
AB,-21,-7
M,-23,-7
M,-22,-7
M,-20,-7
M,15,-7
Y,15,-7
M,15,-7
M,-4.2,-7.4
Z,-94,-7
M,-34,-7
M,-31,-7
M,-2,-7
M,-24,-7
M,-54,-7
M,25,-7
AB,-35,-7
M,-32,-7
M,-14,-7
M,25,-7
M,-3,-7
M,-7,-7
M,-5,-7
M,-48,-7
M,-26,-7
M,-22,-7
M,-7,-7
M,1,-7
M,-6,-7
M,54,-7
M,17,-7
M,23,-7
M,-48,-7
M,16,-7
Y,-29,-7
M,19,-7
M,-80,-7
M,12,-7
M,7,-7
M,-8,-7
Y,-30,-7
M,-24,-7
M,-20,-7
M,-1,-7
M,5,-7
M,-45,-7
M,16,-7
M,33,-7
M,1,-7
M,7,-6
M,-40,-6
M,-5,-6
Y,-30,-6
