PGD Type,Type,Grain Label,Meteorite,12C/13C,err+[12C/13C],err-[12C/13C]
M,M,M7@8_1_1_mg_16,Murchison ,52.30,0.61,0.61
M,M,Muri11B-390-7,Murchison,52.29,1.41,1.34
M,M,KJB2-J-2,Murchison,52.29,2.18,2.18
M,M,C2-03,Murchison,52.29,0.54,0.54
M,M,M33c-318-2,Murchison,52.28,1.00,0.96
M,M,M33b-192-8,Murchison,52.28,3.35,2.97
M,M,M42-252-1,Murchison,52.27,2.57,2.34
M,M,M33b-144-15,Murchison,52.27,1.77,1.66
M,M,M7@8_17_1_mg_1,Murchison ,52.27,0.56,0.56
M,M,M7b@3_33_1_mg_9,Murchison ,52.27,0.56,0.56
M,M,M26a-380-1,Murchison,52.26,1.20,1.14
M,M,KJGN10-75-3,Murchison,52.25,0.36,0.36
M,M,Muri11B-295-1,Murchison,52.24,1.80,1.68
M,M,KJB2-3-8-9,Murchison,52.24,1.17,1.17
M,M,M8-86-3,Murchison,52.24,1.76,1.65
M,M,Muri11B-209-6,Murchison,52.24,1.06,1.02
M,M,M7@14_61_1_mg_3,Murchison ,52.24,0.23,0.23
M,M,M33b-36-2,Murchison,52.23,1.07,1.02
M,M,M26a-453-2,Murchison,52.23,0.98,0.94
M,M,M26a-97-1,Murchison,52.23,2.02,1.87
M,M,LS+LU-JA-17,Murchison,52.2,0.4,0.4
M,M,M33b-207-7,Murchison,52.22,1.75,1.64
M,M,KJB2-3-5-7,Murchison,52.21,1.08,1.08
M,M,M7@14_13_1_mg_1,Murchison ,52.21,0.20,0.20
M,M,KJE284,Murchison,52.2,1.0,1.0
M,M,M26a-195-20,Murchison,52.20,1.45,1.37
M,M,M26a-95-13,Murchison,52.20,1.04,1.00
M,M,reg4p2_11_1_1,Indarch,52.2,0.5,0.5
M,M,M26a-164-3,Murchison,52.19,1.53,1.45
M,M,Muri11B-15-10,Murchison,52.19,1.61,1.51
M,M,M26a-313-1,Murchison,52.19,1.43,1.35
M,M,Muri11B-243-6,Murchison,52.18,0.80,0.78
M,M,M33-2-24,Murchison,52.17,3.58,3.15
M,M,KJA1-2-5-1,Murchison,52.17,2.86,2.86
M,M,M26a-165-15,Murchison,52.17,1.38,1.31
M,M,Muri11B-349-5,Murchison,52.16,1.08,1.04
M,M,KJB2-CNSi_24_mg_1,Murchison,52.16,8.33,8.33
M,M,WF_5#4.10,Murchison ,52.16,0.48,0.48
M,M,M33b-145-7,Murchison,52.15,3.24,2.88
M,M,M7@8_7_1_mg_9,Murchison ,52.15,0.61,0.61
M,M,M7@14_61_1_mg_6,Murchison ,52.15,0.67,0.67
M,M,M7b@2_37_1_mg_2,Murchison ,52.15,1.14,1.14
M,M,M33b-128-3,Murchison,52.15,2.13,1.97
M,M,KJE408,Murchison,52.2,1.3,1.3
M,M,KJB2-11-13-8,Murchison,52.15,0.62,0.62
M,M,KJB2-11-14-6,Murchison,52.15,0.68,0.68
M,M,KJB2-13-19-5,Murchison,52.15,0.11,0.11
M,M,KJH4-422,Murchison,52.14,0.83,0.83
M,M,M26a-222-1,Murchison,52.14,1.31,1.25
M,M,WF_6#12.3,Murchison ,52.14,0.67,0.67
M,M,M26a-52-6,Murchison,52.14,1.08,1.03
M,M,LS+LU-35,Murchison,52.12,0.24,0.24
M,M,M7@14_16_1_mg_1,Murchison ,52.12,1.35,1.35
M,M,Muri11B-475-2,Murchison,52.12,0.96,0.93
M,M,M33b-205-4,Murchison,52.11,1.88,1.75
M,M,I11,Inman,52.1,6.5,6.5
M,M,LU-9,Murchison,52.1,0.3,0.3
M,M,KJE-a1-16-16,Murchison,52.10,0.27,0.27
M,M,M26a-268-4,Murchison,52.10,4.05,3.51
M,M,KJB2-MgAl_13_mg_2,Murchison,52.1,1.71,1.71
Z,Z,reg4p2_11_1_13,Indarch,52.1,0.5,0.5
M,M,region4again_21_1_5,Indarch,52.1,0.3,0.3
M,M,KJA1-3-7-12,Murchison,52.10,0.89,0.89
M,M,M7@8_6_1_mg_3,Murchison ,52.10,0.66,0.66
Z,Z,M7b@1_5_1_mg_9,Murchison ,52.10,0.37,0.37
M,M,M7b@2_51_1_mg_2,Murchison ,52.10,2.31,2.31
M,M,M7b@3_16_1_mg_4,Murchison ,52.10,0.60,0.60
M,M,Muri11B-15-2,Murchison,52.09,2.30,2.12
M,M,KJE-a2-16-8,Murchison,52.09,0.35,0.35
M,M,Muri11B-441-10,Murchison,52.09,1.47,1.39
M,M,LS+LU-JA-56,Murchison,52.1,0.4,0.4
M,M,KJC137,Murchison,52.1,9.7,7.1
M,M,Muri11B-380-5,Murchison,52.07,1.75,1.64
M,M,M26a-117-7,Murchison,52.07,1.30,1.24
M,M,M7@8_6_1_mg_25,Murchison ,52.07,0.73,0.73
M,M,M7@14_37_1_mg_5,Murchison ,52.07,0.40,0.40
M,M,M7@15_12_1_mg_11,Murchison ,52.07,0.35,0.35
M,M,M33-73-3,Murchison,52.04,3.52,3.10
M,M,WF_3#5.11,Murchison ,52.04,0.68,0.68
M,M,M26a-96-13,Murchison,52.04,1.33,1.27
M,M,KJE839,Murchison,52.0,3.1,3.1
M,M,KJB2-9-3-10,Murchison,52.03,0.35,0.35
M,M,KJE-a1-44-1,Murchison,52.02,0.24,0.24
M,M,M8-16-14,Murchison,52.02,0.97,0.94
M,M,M8-8-7,Murchison,52.02,1.10,1.06
M,M,M14,Murchison,52.0,1.2,1.2
M,M,KJE153,Murchison,52.0,2.0,2.0
