Type,12C/13C,errplus12C13C,errminus12C13C
5,106.89,0.56,0.56
5,106.8,0.79,0.79
5,106.67,1.65,1.65
5,106.62,3.76,3.76
5,106.58,11.29,11.29
2,106.5,9.2,9.2
5,106.5,3.43,3.22
5,106.41,8.05,6.99
5,106.4,2.56,2.56
5,106.4,1.5,1.5
5,106.4,1.7,1.7
5,106.37,1.2,1.2
5,106.3,0.53,0.53
5,106.16,0.95,0.95
5,106,1.12,1.12
5,106,2,2
5,106,2,2
5,105.91,0.63,0.63
5,105.9,1.7,1.7
5,105.83,2.39,2.39
2,105.8,26.3,17.6
5,105.71,1.41,1.41
5,105.68,1.79,1.79
5,105.63,6.56,5.84
5,105.6,2,2
5,105.52,1.4,1.4
5,105.48,3.59,3.36
6,105.43,3.24,3.24
4,105.43,3.63,3.63
5,105.41,0.55,0.55
2,105.38,7.49,7.49
5,105.38,1.45,1.45
5,105.2,1.3,1.3
6,105.2,1.55,1.55
5,105.18,2.1,2.1
5,105.1,1.27,1.27
2,104.96,5.45,4.94
5,104.93,2.75,2.75
5,104.9,0.7,0.7
5,104.85,10.95,10.95
5,104.82,0.65,0.65
5,104.7,4.66,4.28
5,104.64,3.7,3.7
5,104.62,3.67,3.67
2,104.6,8.1,8.1
5,104.58,1.59,1.59
5,104.53,1.2,1.18
5,104.5,1.5,1.5
5,104.5,1.5,1.5
5,104.48,2.42,2.31
5,104.42,1.58,1.58
5,104.3,2.01,1.94
5,104.3,3.1,3.1
5,104.29,0.52,0.52
5,104.13,1.9,1.9
5,104.01,2.4,2.29
5,103.85,1.19,1.19
5,103.85,7.91,7.91
2,103.82,4.15,3.84
5,103.74,1.51,1.47
5,103.73,0.56,0.56
5,103.73,2.6,2.6
5,103.7,1.5,1.5
5,103.67,14.59,14.59
2,103.63,10.18,8.51
5,103.6,1.2,1.17
2,103.4,27.4,17.9
5,103.37,2.03,2.03
5,103.36,2.14,2.06
5,103.34,2.07,2.07
2,103.3,6.3,6.3
5,103.3,0.7,0.7
2,103.2,6,6
5,103.2,1.5,1.5
5,103.05,4.99,4.99
5,102.9,1.1,1.1
2,102.9,6.6,6.6
5,102.89,1.82,1.82
2,102.84,4.97,4.53
5,102.82,2.43,2.43
5,102.8,1,1
4,102.7,1,1
5,102.7,1.4,1.4
5,102.69,0.67,0.67
5,102.65,3.24,3.24
5,102.64,0.49,0.49
5,102.59,2.41,2.41
5,102.58,1.83,1.83
5,102.54,3.4,3.4
6,102.44,1.78,1.78
5,102.4,0.8,0.8
5,102.39,3.3,3.3
5,102.33,2.74,2.74
5,102.21,1.23,1.23
5,102.19,0.91,0.91
5,102.15,6.79,6
5,102.15,0.54,0.54
5,102.11,3.36,3.15
5,102.1,0.88,0.88
5,102.05,0.49,0.49
5,102,2,2
5,101.98,1.3,1.3
5,101.95,0.61,0.61
5,101.94,2.33,2.33
5,101.93,5.62,5.06
5,101.93,2.02,2.02
4,101.91,0.98,0.98
5,101.87,11.11,11.11
5,101.86,0.91,0.91
5,101.85,0.72,0.72
4,101.9,2.9,2.8
5,101.76,2.31,2.31
2,101.8,3.7,3.7
5,101.71,1.3,1.3
5,101.7,1.7,1.7
2,101.7,19.8,14.2
5,101.61,1.56,1.56
2,101.6,3,3
2,101.6,1.4,1.4
5,101.49,4.05,3.75
5,101.47,4.36,4.36
5,101.46,0.6,0.6
5,101.42,1.66,1.61
5,101.38,1.11,1.11
5,101.3,2.18,2.18
5,101.3,1.7,1.7
5,101.27,9.37,7.91
5,101.26,1.7,1.7
5,101.19,1.16,1.16
5,101.17,2.31,2.31
5,101.06,0.59,0.59
5,101,2,2
4,101,3,3
4,101,3,3
4,101,1.7,1.7
5,100.94,1.28,1.28
2,100.9,4.2,4.2
5,100.85,1.07,1.07
2,100.82,3.76,3.76
5,100.81,3.46,3.24
4,100.76,0.49,0.49
5,100.72,0.98,0.98
5,100.71,0.75,0.75
5,100.71,0.75,0.75
5,100.67,4.26,4.26
2,100.7,6.8,6.8
5,100.65,1.66,1.66
2,100.64,9.74,8.16
5,100.6,1.67,1.67
5,100.6,0.8,0.8
5,100.55,3.76,3.76
5,100.54,3.16,3.16
5,100.53,8.03,6.92
5,100.47,0.76,0.76
5,100.47,0.62,0.62
5,100.46,2.24,2.24
5,100.45,5,4.55
6,100.45,1.03,1.03
5,100.4,4.3,4.3
5,100.37,0.55,0.55
5,100.37,0.69,0.69
5,100.3,1.73,1.73
5,100.2,0.7,0.7
5,100.2,1.1,1.1
2,100.12,8.29,7.11
5,100.08,0.61,0.61
5,99.99,2.59,2.59
2,99.91,2.29,2.29
2,99.91,4,3.7
5,99.9,0.8,0.8
2,99.89,2.97,2.97
2,99.84,0.85,0.85
2,99.82,1.25,1.25
2,99.8,13.5,13.5
2,99.75,3.84,3.84
2,99.72,3.67,3.67
2,99.69,1.85,1.85
2,99.68,3.9,3.9
2,99.68,0.66,0.66
2,99.65,0.52,0.52
4,99.6,0.8,0.8
2,99.56,3.51,3.51
2,99.54,1.05,1.05
5,99.5,0.9,0.9
2,99.2,2.2,2.2
2,99.12,1.7,1.7
2,99.08,5.29,5.29
2,99.08,0.5,0.5
2,98.99,0.9,0.9
2,98.9,0.9,0.9
2,98.9,7.4,7.4
2,98.87,2.43,2.43
2,98.87,15.92,12.04
5,98.85,1.03,1.03
4,98.74,0.75,0.75
7,98.67,2.73,2.73
2,98.5,6.7,6.7
2,98.46,0.51,0.51
2,98.41,4.76,4.76
2,98.36,14.54,14.54
2,98.4,4.2,4.2
6,98.32,1.82,1.82
2,98.24,0.47,0.47
2,98.22,2.01,1.93
2,98.22,2.67,2.53
6,98.18,1.77,1.77
2,98.16,5.41,4.87
2,98.16,2.43,2.43
2,98.15,1.61,1.61
2,98.14,0.58,0.58
2,98.1,1.3,1.3
2,98.1,1,1
2,98.1,5,5
4,98.01,1.3,1.3
2,98,0.81,0.81
6,98,0.9,0.9
2,97.99,1.16,1.16
2,97.96,2.02,2.02
2,97.96,1.35,1.35
2,97.9,5.7,5.7
2,97.9,5.79,5.79
2,97.89,2.48,2.48
2,97.87,1.46,1.46
2,97.85,0.98,0.98
2,97.84,4.88,4.88
2,97.8,12.18,12.18
2,97.8,0.6,0.6
2,97.75,8.27,8.27
2,97.74,0.87,0.87
2,97.72,1.63,1.63
2,97.68,1.85,1.85
2,97.68,3.57,3.57
2,97.68,2.37,2.37
2,97.6,5.44,5.44
2,97.51,2.6,2.6
2,97.5,5.2,5.2
2,97.45,0.57,0.57
2,97.44,5.1,5.1
2,97.43,3.97,3.97
2,97.4,0.5,0.5
2,97.39,1.64,1.59
2,97.38,5.13,5.13
2,97.33,4.36,4
2,97.28,3.79,3.79
2,97.3,3,3
2,97.25,1.47,1.47
2,97.2,0.9,0.9
2,97.17,1.71,1.71
6,97.14,7.65,7.65
2,97.11,4.63,4.63
2,97.06,2.85,2.69
2,97.04,2.55,2.55
2,97,3,3
4,97,8.6,8.6
2,96.95,3.87,3.87
2,96.9,5.1,5.1
7,96.87,1.04,1.04
2,96.87,2.07,2.07
2,96.86,3.32,3.11
2,96.9,18.6,13.4
6,96.84,1.41,1.41
2,96.83,1.95,1.95
2,96.82,4.13,4.13
4,96.8,1.6,1.5
2,96.81,2.98,2.98
4,96.8,4.3,4.3
2,96.77,5.27,4.76
2,96.75,3.56,3.56
2,96.69,8.59,8.59
2,96.64,0.68,0.68
6,96.55,2.48,2.48
6,96.5,1.4,1.4
6,96.46,3.11,3.11
2,96.45,0.56,0.56
2,96.43,5.52,4.95
