Type,carbon_isotopes,silicon_isotopes
Z,22.01,5
M,22.01,31
M,22.02,-6
M,22.03,119
M,22.08,-32
M,22.10,44
M,22.11,43
M,22.13,-15
M,22.15,49
M,22.16,53
M,22.22,30
M,22.23,58
M,22.24,4
M,22.28,64
M,22.31,39
M,22.39,46
M,22.41,74
M,22.43,90
M,22.43,52
M,22.44,13
M,22.46,22
M,22.46,38
M,22.47,6
M,22.48,-16
M,22.5,-5
M,22.5,53
M,22.55,9
M,22.56,-14
M,22.56,6
M,22.59,-17
M,22.59,10
Z,22.60,-30
Z,22.6,12
M,22.61,-3
M,22.62,29
M,22.62,74
M,22.64,-26
M,22.65,-5
M,22.66,46
M,22.69,20
M,22.71,28
M,22.71,-52
M,22.72,67
M,22.72,24
M,22.8,27.9
M,22.76,15
M,22.76,13
M,22.8,60.4
M,22.8,128.1
M,22.81,29
M,22.81,8
M,22.84,59
M,22.86,-10
M,22.86,51
M,22.91,19
Z,22.93,-10
M,22.94,4
M,22.94,15
M,22.94,8
M,22.96,12
Z,23,-29
M,23.00,50
M,23.00,-43
M,23.04,-9
X,23.06,-152
M,23.1,54.0
M,23.08,-9
M,23.11,-4
M,23.14,7
M,23.16,3
M,23.17,17
M,23.17,154
M,23.20,49
M,23.20,48
M,23.23,3
M,23.27,19
M,23.27,-17
M,23.27,0
M,23.27,17
M,23.30,-0.5
M,23.31,109
M,23.3,-34.8
M,23.33,60
M,23.35,0
M,23.40,41
M,23.44,27
M,23.46,67
M,23.50,46
M,23.51,60
M,23.53,29
M,23.54,11
M,23.55,-44
M,23.55,50
M,23.55,7
M,23.58,57
M,23.58,39
Z,23.58,92.4
M,23.60,32
M,23.6,68
M,23.62,36
M,23.65,21
M,23.68,82
M,23.70,28
M,23.7,148
M,23.71,49
M,23.72,-13
M,23.72,69
M,23.72,19
M,23.76,26
M,23.77,-26
M,23.78,59
M,23.79,28
M,23.83,35
M,23.85,21
M,23.87,21
M,23.88,68
M,23.91,26
M,23.92,25
M,23.95,133
M,23.96,13
M,23.98,-27
M,24.03,36
M,24.03,48
M,24.04,59
M,24.06,29
M,24.09,9
M,24.12,100
M,24.16,100
M,24.18,27
M,24.18,19
M,24.19,29
M,24.19,70
M,24.20,83
M,24.2,17.5
M,24.25,91
M,24.26,-5
M,24.26,31
X,24.28,-120
M,24.29,34
M,24.29,-17
M,24.3,45
M,24.31,94
M,24.32,43
M,24.40,16
M,24.41,62
M,24.41,54
M,24.43,22
M,24.45,-5
M,24.46,1
M,24.48,26
M,24.49,40
M,24.49,52
M,24.56,20
M,24.58,38
M,24.71,-15
U,24.71,55
M,24.74,27
M,24.76,5
M,24.81,23
M,24.83,17
M,24.83,8
M,24.83,46
M,24.84,-48
M,24.85,33
M,24.86,1
M,24.86,42
M,24.87,17
M,24.89,25
M,24.90,13
M,24.91,48
M,24.91,40
M,24.95,-9
M,24.97,-5
Z,25,-16
M,25.00,19
M,25.05,-30
M,25.05,72
M,25.05,52
M,25.06,49
M,25.09,93
M,25.10,78
