Type,carbon_12_13,nitrogen_14_15,silicon_29_28,silicon_30_28
M,54,531,31.7,23.2
AB,5.51,1230,31.9,13.9
M,79.69,683,32,34
AB,3.46,186,32,19
AB,4.18,294,32,56
M,76.76,897,32,39
AB,9.74,330,32,30
M,50.0,400,32.3,29.3
M,49.3,305,32.4,29.9
M,55.4,809,32.7,18.4
M,48.7,341,32.9,46.6
AB,3.55,219,33,28
AB,4.56,3301,33,13
AB,5.17,794,33,48
AB,6.07,2169,33,20
AB,9.06,48,33,83
M,73.8,2251,33,53
M,78.5,427,33.0,32.3
M,14.01,747,34,45
AB,3.573,62.6,34,60
M,52.7,2653,33.9,33.1
AB,5.4,381,34,26
M,68.48,979,34,43
M,24.29,4485,34,50
M,64.7,1066,34.6,56.5
M,64.60,3368.07,34.75,43.17
M,49.50,610,34.8,38.2
M,61.5,568,34.8,28.9
M,71.0,803,35.0,41.8
AB,6.02,299.37,35,29
M,36.88,3729,35,46
M,47.56,623.82,35,-10
M,65.49,2831,35,43
M,76.1,661,35.1,38.4
M,68.96,906.30,35.13,30.82
M,75.36,2253,35,36
M,10.12,2955,35,5
M,45.50,1578,35,36
M,65.4,416,35.5,25.7
M,56.87,1176,36,48
M,62.3,1287,35.9,35.7
M,59.63,494,36,41
M,48.64,716,35.9,43.1
M,65.19,1725,36,44
M,68.83,3074,36,42
M,63.8,419,36.2,42.3
M,59.6,903,36.3,32.8
M,62.20,2985,36.5,22.9
M,72.0,659,36.9,46.3
AB,2.71,286,37,48
AB,6.15,1587,37,17
M,16.93,774.58,37,11
M,54.09,2467,37,42
M,63.19,1413,37,47
M,75.00,1784,37,41
M,81.8,377,37.0,50.8
AB,6.052,3546,37,-47
M,95.86,790,38,4
M,48.90,356,37.8,44.9
M,49.31,408,37.9,41.1
M,57.87,399,38,40
M,72.52,3872.74,37.99,38.17
M,45.45,1045,38,45
AB,7.92,1367,38,49
M,19.3,370,38,55
M,52.1,567.36,38,56
M,68.99,1104,38,39
M,70.75,2353,38,54
M,76.9,1879,38,55
M,48.3,462,38.4,51.4
M,61.15,1219,39,47
M,48.85,935,38.6,45.0
M,49.7,310,38.7,43.7
AB,4.51,179.45,39,44
AB,5.76,1135,39,39
AB,6.24,632,39,47
M,14.96,611.96,39,12
Y,115.1,1667,39,90
M,64.3,1233,39.0,38.4
M,60.9,809,39,45
M,48.72,1314,39.5,43.0
M,55.3,4950,39.5,32.9
M,75.24,566,40,29
M,65.9,703,39.7,46.8
M,65.05,1052,40,31
M,45.87,1208,40,31
M,64.86,1373,40,57
M,56.3,555,40,42
M,61.78,1836,40,35
M,61.82,617,40,45
M,62.05,2801,40,45
M,68.2,650,40,49
M,68.43,653,40,27
M,71.14,919,40,54
M,83.20,495,40,13
M,85.8,515,40,61
M,48.98,883,40.7,32.5
M,65.44,564,41,42
AB,5.16,1755,41,22
M,53.02,384.09,41,16
M,57.6,536.78,41,37
M,63.2,1473,41,31
M,63.72,1499,41,54
M,81.82,1258,41,47
M,63.57,3430,41,33
M,76.9,693,42.0,54.3
M,19.57,1951.22,42,29
M,48.98,374,42.0,39.1
M,67.41,1009,42,46
M,68.14,2097,42,52
AB,6.47,272,42,65
M,28.83,2844,42,39
M,49.01,467,42.4,44.5
M,51.8,1449,43,38
M,64.4,2024,42.6,48.2
M,48.38,353,42.8,52.9
M,48.59,1088,42.9,50.8
AB,5.80,711,43,41
M,24.32,1448.52,43,37
M,32.08,2390,43,54
M,47.39,2087,43,65
M,67.12,2331,43,53
M,70.35,310,43,52
M,83.8,1186,43,37
M,63.29,2448,43,50
M,48.69,678,43.3,44.3
M,48.82,716,43.4,47.0
AB,9.69,267,44,35
M,48.4,306,43.6,53.9
M,63.50,3236,43.6,48.0
M,76.43,815,44,43
M,50.6,3058,44.0,45.9
M,43.9,1375,44,40
M,64.79,523,44,45
M,65.85,727,44,47
M,75.91,1489,44,49
M,78.33,1027,44,41
M,74.27,3203.20,44.09,41.41
M,48.56,2015,44.2,52.3
M,62.4,1714,44,51
M,74.0,411,44.6,54.0
M,76.15,2708,45,48
AB,2.45,39,45,47
AB,4.75,2672,45,33
AB,4.87,81,45,53
AB,8.70,2468,45,52
M,27.67,3173,45,41
M,48.91,450,45,62
M,63.94,1183,45,50
M,67.7,307,45,48
M,80.51,453,45.2,40.3
M,72.3,2618,45.4,39.6
M,27.04,3349.01,45.42,48.18
M,60.62,1381.92,45.61,33.17
M,74.08,615.29,45.80,36.70
M,44.74,485,46,68
M,73.40,2463,46.0,51.3
AB,4.92,2335,46,10
M,52.6,1424,46,53
M,60.89,2974,46,48
M,61.03,1530,46,31
M,61.59,1800,46,48
M,62.79,1211,46,38
M,68.00,5622,46,62
M,68.74,2729,46,45
M,64.0,4132,46.1,55.6
M,61.90,3425,46.2,38.7
AB,5.80,4612,47,36
M,63.05,542,47,49
Y,106,1537,46.9,93.8
AB,11.4,648,47,29
M,49.28,1189,47,60
M,75.68,2763,47,68
M,55.2,3012,47.1,55.9
M,47.86,388,47.3,55.7
M,62.03,1025,47,42
M,52.4,7937,47.5,36.0
M,63.80,3413,47.7,51.5
Y,127,706,47.8,28.5
AB,6.26,441,48,34
M,62.7,3876,47.9,51.0
M,41.98,1531,48,65
M,61.22,1776,48,55
M,61.6,828,48,38
M,61.65,1258,48,49
M,61.7,3412,48,51
M,63.1,1198,48,46
M,72.7,430,48,52
M,50.65,1605,48,61
M,47.68,961,48.1,63.1
M,63.10,5435,48.1,50.1
AB,6.82,462,48,54
M,64.46,1486,48,42
M,76.09,557,48,45
M,64.6,4444,48.5,59.5
M,23.71,733,49,46
M,52.1,374,48.9,58.0
AB,3.65,796,49,31
M,27.66,4262,49,53
M,27.80,3891,49.0,59.8
M,35.13,3807,49,45
M,39.2,1456,49,52
M,43.57,911,49,56
M,58.13,1801,49,53
M,61.18,1761,49,62
Y,72.73,933,49,99
M,59.77,302,49,36
M,69.50,3984,49.5,64.4
M,55.63,1384,50,51
AB,5.57,4712,50,31
M,44.73,759.45,50,41
M,53.47,759,50,62
M,53.71,2459,50,57
M,62.81,2061,50,56
M,63.38,2696,50,49
M,60.20,1942,50.8,51.5
AB,4.98,529,51,27
AB,5.59,332.76,51,65
M,28.21,469.8,51,29
M,41.7,3479,51,59
M,62.69,1764,51,73
M,62.9,3817,51.3,49.2
M,28.40,1195,51,49
M,64.25,523,52,60
M,14.61,504,52,35
M,27.37,1796,52,69
M,58.40,1914,52,46
M,60.93,1121,52,57
M,61.64,1797,52,52
M,62.6,374,52,55
M,63.2,459,52,54
M,61.90,6711,52.1,53.7
AB,5.2,2725,52,23
M,62.70,865,52.6,57.5
M,61.90,1137,53,37
M,76.70,316.91,52.85,14.63
M,78.7,587,53,48
M,22.16,4589,53,45
M,39.76,2964,53,63
M,60.77,1199,53,63
M,72.69,1511,53,58
M,73.92,3066,53,49
M,62.80,2874,53.2,60.1
AB,6.32,279,53,42
M,63.93,1528,54,59
AB,4.79,68,53.9,67.4
M,60.83,3560.59,53.99,47.00
AB,3.59,2798,54,54
M,53.82,2711,54,65
M,54,796,54,53
M,54.45,884,54,67
M,61.17,1143,54,55
M,73.45,1668,54,63
M,74.55,1069.99,54,37
M,63.6,378,54,25
M,40.9,1842,54.3,55.5
M,71.26,2270,55,45
M,62.89,741.39,54.76,49.06
M,27.85,1397,55,70
M,76.9,658,55.0,55.3
AB,4.83,6188,55,36
N,5.1,19.7,55,119
M,27.30,1719,55,63
M,60.67,4556,55,54
M,60.89,2183,55,60
M,61.05,1431,55,40
M,61.35,2248,55,66
M,62.5,1084,55,61
M,74.29,2004,55,67
M,64.79,357,55,61
M,63.35,1088,55.3,47.8
M,50.3,2160,55.6,54.9
M,69.0,463,56,37
